,Name,Album,Artist,url
0,khairiyat,chhichhore,"arijit singh,pritam",https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20?si=d0c04bc1bb32482d
1,mai dhoondne ko zamane mein,heartless,arijit singh,https://open.spotify.com/track/43YkTTlOD203o9E5ZxhUjF?si=91e08c86833448fd
2,qafirana,keadrnath,"arijit singh, nikita gandhi",https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi?si=935db3d7a53f4eda
3,titlian,titlian,afsana khan,https://open.spotify.com/track/1980E4Grgu5xAhNbFZ1mb1?si=021796a5cb5545fa
